16;15;4
17;197;12
18;339;20
19;500;20
20;46;7
21;127;7
22;259;15
23;610;15
24;67;10
25;633;23
26;119;10
27;101413;111
28;302;18
29;413;18
30;694;18
31;101073;106
32;31;5
33;808;26
34;214;13
35;505;13
36;357;21
37;498;21
38;519;21
39;2305;34
40;66;8
41;101290;109
42;148;8
43;1295;29
44;281;16
45;452;16
46;633;16
47;100932;104
48;91;11
49;757;24
50;658;24
51;1079;24
52;145;11
53;346;11
54;101440;112
55;102261;112
56;330;19
57;1596;32
58;442;19
59;2128;32
60;724;19
61;955;19
62;101104;107
63;105035;107
64;63;6
65;1100;27
66;841;27
67;1392;27
68;248;14
69;509;14
70;540;14
71;100719;102
72;393;22
73;102646;115
74;535;22
75;1445;14
76;557;22
77;848;22
78;2344;35
79;4305;35
80;106;9
81;1382;22
82;101331;110
83;102012;110
84;190;9
85;511;9
86;1338;30
87;2629;30
88;325;17
89;1861;30
90;497;17
91;98431;92
92;679;17
93;1030;17
94;100979;105
95;104750;105
96;139;12
97;103157;118
98;806;25
99;1617;25
9;330;19
100;708;25
7;281;16
102;1130;25
101;1089;25
104;197;12
8;7;3
5;31;5
6;49;8
106;399;12
105;4858;38
103;97299;87
107;100398;100
112;386;20
113;1106;12
110;102316;113
111;86038;69
108;101494;113
109;101905;113
117;941;20
115;2594;33
114;1653;33
118;2187;33
119;3948;33
122;1016;20
116;500;20
120;784;20
123;6267;46
121;99068;95
128;127;7
127;27961;46
14;288;17
125;101637;108
131;2236;28
11;248;14
132;907;28
10;36;6
12;55;9
129;103836;121
133;1408;28
126;105098;108
138;578;15
135;5755;41
140;610;15
130;1165;28
134;1459;28
139;4739;41
144;465;23
141;1141;15
124;101166;108
142;100790;103
137;98020;90
150;1520;15
145;102668;116
151;3751;15
152;633;23
136;316;15
143;104321;103
149;1170;23
146;102719;116
147;103920;116
157;3013;36
13;106;9
156;2422;36
160;186;10
153;3399;36
159;58344;54
158;4384;36
163;2794;23
154;925;23
161;99915;98
162;1463;23
168;274;10
155;96834;85
164;101413;111
169;28850;49
167;85537;67
165;102034;111
173;2075;31
174;2716;31
176;413;18
178;1950;31
171;105805;124
172;1424;31
170;596;10
148;609;23
166;102095;111
181;1268;18
180;587;18
175;94910;80
184;771;18
183;101223;93
182;98522;93
179;3411;31
177;2339;31
191;27388;44
186;1123;18
15;679;17
188;101073;106
197;1645;26
185;5712;44
187;9004;44
198;1716;26
190;104845;106
189;101784;106
194;103254;119
195;104845;119
202;1190;26
196;904;26
205;2003;26
200;808;26
203;5146;39
208;301;13
209;4112;39
212;505;13
211;6684;39
201;4808;18
213;1306;13
210;4963;39
204;1232;26
193;103683;119
217;3935;26
192;235;13
206;97402;88
214;100505;101
199;112549;119
219;12747;52
224;498;21
226;1219;13
218;102014;114
207;102503;88
223;94950;70
221;103257;114
230;2709;34
222;86149;70
227;3070;13
220;102426;114
234;1058;21
229;2628;34
215;103676;101
216;101602;114
231;119382;127
238;4067;34
240;904;21
225;30033;52
228;1767;34
236;2305;34
237;3196;34
233;96135;83
239;57627;52
242;99189;96
241;2535;21
235;116856;127
243;101170;96
245;2059;21
246;6390;47
232;616;21
248;101290;109
249;10313;47
247;10031;47
254;28088;47
252;105224;109
244;1138;21
251;84784;65
260;1295;29
256;255;8
264;1039;29
255;65079;47
258;103965;122
266;1541;29
267;6111;21
250;101762;109
269;2604;29
262;2367;29
263;94121;78
268;1593;29
270;5890;42
257;105034;122
259;106076;122
277;1757;16
261;2276;29
265;113942;122
273;3438;29
278;4878;42
280;750;16
275;100398;91
274;98157;91
281;8161;42
253;106175;109
283;81672;60
279;8989;42
276;716;16
285;102003;104
282;1282;16
288;609;24
289;5454;29
284;100932;104
287;26527;42
272;452;16
271;12561;42
290;102813;117
286;104464;104
291;105184;117
297;96511;73
302;3902;16
300;1670;16
298;1319;24
292;102865;117
303;24063;42
304;785;24
308;1079;24
306;3552;37
299;111652;117
307;6053;37
309;2240;24
293;103966;117
312;2578;37
305;4231;37
311;101570;86
315;9311;37
310;96989;86
316;4542;37
295;21440;55
296;757;24
319;78164;55
301;2801;16
318;58503;55
314;3170;37
321;4222;24
320;346;11
317;5733;37
322;100076;99
325;2846;24
324;1625;24
323;102707;99
329;11760;50
326;2957;24
294;104067;117
336;442;11
331;6812;24
313;118501;130
327;175100;143
334;85704;68
335;93945;68
332;102261;112
341;2047;11
339;31780;50
337;107946;112
330;102199;112
340;766;11
342;105976;125
328;101577;112
346;2248;32
345;107889;125
333;103512;112
354;2516;32
353;115797;125
350;95085;81
347;118341;125
349;4201;32
343;111027;125
344;1596;32
357;3469;32
348;2890;32
356;2128;32
355;5407;32
338;29019;50
361;14458;45
362;1449;19
363;12700;45
358;3590;32
368;955;19
369;3696;19
367;29054;45
364;98704;94
360;767;19
359;56550;50
365;100075;94
366;101406;94
370;5897;45
374;9191;45
371;8918;45
372;1309;19
373;2710;19
375;14712;45
379;26971;58
376;101261;107
384;427;14
377;83653;63
381;106466;107
385;7477;32
352;589;19
351;108916;81
383;63930;45
378;101973;107
380;105035;107
386;103876;120
382;27579;45
387;107027;120
396;1914;27
397;3405;27
390;105040;120
392;1100;27
401;4908;19
395;92936;76
393;23505;58
400;1008;27
403;8290;19
394;1842;27
388;103448;120
406;5349;40
408;1436;27
402;5009;19
391;114041;120
398;112748;120
407;11340;40
399;122559;120
389;104909;120
410;2208;27
416;509;14
404;1392;27
405;2913;27
409;8202;40
414;102710;89
419;7732;40
411;136086;133
412;97608;89
423;27055;32
420;5173;40
415;164640;133
418;4321;40
417;120692;133
424;717;14
426;1519;14
425;80397;58
433;5121;27
413;99159;89
421;6754;40
422;6895;40
429;102330;102
435;7693;27
428;100719;102
432;101818;115
430;103891;102
441;9129;27
427;22275;53
434;4152;27
436;102232;115
431;25234;40
437;103873;115
439;19427;53
438;12966;53
444;86371;71
440;102646;115
443;20111;53
453;3146;14
454;3297;14
448;722;22
450;30258;53
452;1445;14
451;33929;53
442;103478;115
449;110305;115
447;471354;97
460;2939;35
455;22698;40
464;848;22
446;95173;71
457;113428;128
461;4670;35
456;1995;35
462;119613;128
465;6644;35
458;2857;35
459;111850;128
472;2541;35
463;130994;128
473;7892;35
474;3433;35
469;3053;22
471;124022;128
445;88042;71
476;4305;35
468;1292;22
475;20133;27
479;76727;53
467;100169;84
480;1144;22
466;96368;84
477;6096;35
478;57866;53
470;117091;128
488;1382;22
490;2304;22
481;16985;48
485;101252;97
489;31623;48
486;101413;97
494;10278;48
493;8487;48
497;5321;22
492;6636;48
483;6707;22
482;2776;22
495;267532;97
491;173627;141
498;10562;48
496;101538;110
499;14623;48
487;159843;141
501;103893;110
505;29624;61
500;102012;110
507;23126;35
508;28342;48
506;106428;110
509;30253;48
511;280210;61
510;65334;48
484;99431;97
513;10172;35
512;511;9
502;85035;66
504;105476;110
520;1555;30
516;104223;123
514;105291;123
519;28678;61
515;109482;123
517;106164;123
503;92436;66
524;2629;30
522;2537;30
529;6184;30
527;107335;79
528;1303;30
525;4600;30
534;6378;22
530;114207;123
535;14249;22
531;118528;123
532;1807;30
518;106335;123
533;3808;30
521;116778;123
526;94384;79
541;8191;43
542;12832;43
546;3711;30
523;113050;123
544;724;17
545;11065;43
537;11111;22
536;1861;30
543;159175;136
552;992;17
551;27401;43
538;2873;30
540;6160;43
550;100673;92
549;100492;92
556;5156;43
557;7247;43
560;1030;17
558;9268;43
547;8162;30
553;167545;136
562;8442;43
554;2034;17
563;13023;43
566;81955;61
539;54933;48
555;13210;30
548;98431;92
565;3685;17
559;107208;87
571;16846;30
561;9701;43
568;101216;105
574;26814;43
577;8152;30
570;102288;105
575;62205;43
573;106901;105
576;897;25
579;10454;30
583;28708;30
572;104750;105
567;90296;61
569;25264;56
585;22500;56
581;105284;118
582;105475;118
578;5743;30
564;1564;17
584;103157;118
580;103103;118
592;1053;25
591;36256;56
587;112280;118
597;3858;25
590;21735;56
589;106572;118
600;1970;17
593;91157;74
594;96808;74
595;101649;74
601;37086;56
605;6475;17
602;3102;17
603;72563;69
606;24366;43
607;48257;43
586;104259;118
610;4536;38
598;111951;118
612;3858;38
613;6159;38
611;9507;38
588;104361;118
596;1617;25
614;6360;38
599;120762;118
615;68905;69
618;2549;25
609;116627;131
616;1387;25
608;1089;25
622;101881;87
624;2890;38
619;124377;131
625;6336;25
623;162771;131
628;3484;38
629;5845;38
620;97299;87
621;99630;87
617;134235;131
632;4858;38
635;25150;30
633;23458;30
631;18907;38
630;9626;38
637;61212;56
627;123915;131
634;6050;38
643;9774;25
638;78483;56
636;58821;56
604;4204;17
641;20352;51
644;100398;100
